geography_key,ward_grid,district_code,district_name,ward_code,grid_code
0,(none),,Unknown,,
1,C9999,C,Unknown,99,99
2,E2021,E,East,20,21
3,E2022,E,East,20,22
4,E2023,E,East,20,23
5,E2024,E,East,20,24
6,E2025,E,East,20,25
7,E2026,E,East,20,26
8,E2027,E,East,20,27
9,E2028,E,East,20,28
10,E2029,E,East,20,29
11,E2030,E,East,20,30
12,E2031,E,East,20,31
13,E2032,E,East,20,32
14,E2033,E,East,20,33
15,E2034,E,East,20,34
16,E2035,E,East,20,35
17,E2036,E,East,20,36
18,E2037,E,East,20,37
19,E2087,E,East,20,87
20,E2121,E,East,21,21
21,E2122,E,East,21,22
22,E2123,E,East,21,23
23,E2124,E,East,21,24
24,E2125,E,East,21,25
25,E2126,E,East,21,26
26,E2127,E,East,21,27
27,E2128,E,East,21,28
28,E2129,E,East,21,29
29,E2130,E,East,21,30
30,E2131,E,East,21,31
31,E2132,E,East,21,32
32,E2133,E,East,21,33
33,E2134,E,East,21,34
34,E2135,E,East,21,35
35,E2136,E,East,21,36
36,E2183,E,East,21,83
37,E2186,E,East,21,86
38,E2221,E,East,22,21
39,E2222,E,East,22,22
40,E2223,E,East,22,23
41,E2224,E,East,22,24
42,E2225,E,East,22,25
43,E2226,E,East,22,26
44,E2227,E,East,22,27
45,E2228,E,East,22,28
46,E2229,E,East,22,29
47,E2230,E,East,22,30
48,E2231,E,East,22,31
49,E2232,E,East,22,32
50,E2233,E,East,22,33
51,E2287,E,East,22,87
52,E2321,E,East,23,21
53,E2322,E,East,23,22
54,E2323,E,East,23,23
55,E2324,E,East,23,24
56,E2325,E,East,23,25
57,E2326,E,East,23,26
58,E2327,E,East,23,27
59,E2328,E,East,23,28
60,E2329,E,East,23,29
61,E2330,E,East,23,30
62,E2331,E,East,23,31
63,E2332,E,East,23,32
64,E2333,E,East,23,33
65,E2421,E,East,24,21
66,E2422,E,East,24,22
67,E2423,E,East,24,23
68,E2424,E,East,24,24
69,E2425,E,East,24,25
70,E2426,E,East,24,26
71,E2427,E,East,24,27
72,E2428,E,East,24,28
73,E2429,E,East,24,29
74,E2430,E,East,24,30
75,E2431,E,East,24,31
76,E2432,E,East,24,32
77,E2433,E,East,24,33
78,E2434,E,East,24,34
79,E2435,E,East,24,35
80,E2521,E,East,25,21
81,E2522,E,East,25,22
82,E2523,E,East,25,23
83,E2524,E,East,25,24
84,E2525,E,East,25,25
85,E2526,E,East,25,26
86,E2527,E,East,25,27
87,E2528,E,East,25,28
88,E2529,E,East,25,29
89,E2530,E,East,25,30
90,E2531,E,East,25,31
91,E2532,E,East,25,32
92,E2533,E,East,25,33
93,E2534,E,East,25,34
94,E2535,E,East,25,35
95,E2536,E,East,25,36
96,E2537,E,East,25,37
97,E2538,E,East,25,38
98,E2539,E,East,25,39
99,E2540,E,East,25,40
100,E3584,E,East,35,84
101,E3684,E,East,36,84
102,E3784,E,East,37,84
103,E4184,E,East,41,84
104,E4202,E,East,42,02
105,E4284,E,East,42,84
106,E4384,E,East,43,84
107,E4484,E,East,44,84
108,E8401,E,East,84,01
109,E8501,E,East,85,01
110,N0621,N,North,06,21
111,N0622,N,North,06,22
112,N0623,N,North,06,23
113,N0624,N,North,06,24
114,N0625,N,North,06,25
115,N0626,N,North,06,26
116,N0627,N,North,06,27
117,N0628,N,North,06,28
118,N0629,N,North,06,29
119,N0630,N,North,06,30
120,N0631,N,North,06,31
121,N0632,N,North,06,32
122,N0633,N,North,06,33
123,N0681,N,North,06,81
124,N0821,N,North,08,21
125,N0822,N,North,08,22
126,N0823,N,North,08,23
127,N0824,N,North,08,24
128,N0825,N,North,08,25
129,N0826,N,North,08,26
130,N0827,N,North,08,27
131,N0828,N,North,08,28
132,N0829,N,North,08,29
133,N0830,N,North,08,30
134,N0831,N,North,08,31
135,N0832,N,North,08,32
136,N0833,N,North,08,33
137,N0901,N,North,09,01
138,N1521,N,North,15,21
139,N1522,N,North,15,22
140,N1523,N,North,15,23
141,N1524,N,North,15,24
142,N1525,N,North,15,25
143,N1526,N,North,15,26
144,N1527,N,North,15,27
145,N1528,N,North,15,28
146,N1529,N,North,15,29
147,N1530,N,North,15,30
148,N1531,N,North,15,31
149,N1532,N,North,15,32
150,N1533,N,North,15,33
151,N1534,N,North,15,34
152,N1535,N,North,15,35
153,N1536,N,North,15,36
154,N1537,N,North,15,37
155,N1583,N,North,15,83
156,N1621,N,North,16,21
157,N1622,N,North,16,22
158,N1623,N,North,16,23
159,N1624,N,North,16,24
160,N1625,N,North,16,25
161,N1626,N,North,16,26
162,N1627,N,North,16,27
163,N1628,N,North,16,28
164,N1629,N,North,16,29
165,N1630,N,North,16,30
166,N1631,N,North,16,31
167,N1683,N,North,16,83
168,N1686,N,North,16,86
169,N1721,N,North,17,21
170,N1722,N,North,17,22
171,N1723,N,North,17,23
172,N1724,N,North,17,24
173,N1725,N,North,17,25
174,N1726,N,North,17,26
175,N1727,N,North,17,27
176,N1728,N,North,17,28
177,N1729,N,North,17,29
178,N1730,N,North,17,30
179,N1731,N,North,17,31
180,N1821,N,North,18,21
181,N1822,N,North,18,22
182,N1823,N,North,18,23
183,N1824,N,North,18,24
184,N1825,N,North,18,25
185,N1826,N,North,18,26
186,N1827,N,North,18,27
187,N1828,N,North,18,28
188,N2683,N,North,26,83
189,N3483,N,North,34,83
190,N8301,N,North,83,01
191,S0421,S,South,04,21
192,S0422,S,South,04,22
193,S0423,S,South,04,23
194,S0424,S,South,04,24
195,S0425,S,South,04,25
196,S0426,S,South,04,26
197,S0427,S,South,04,27
198,S0428,S,South,04,28
199,S0429,S,South,04,29
200,S0430,S,South,04,30
201,S0431,S,South,04,31
202,S0432,S,South,04,32
203,S0433,S,South,04,33
204,S0434,S,South,04,34
205,S0435,S,South,04,35
206,S0436,S,South,04,36
207,S0437,S,South,04,37
208,S0921,S,South,09,21
209,S0922,S,South,09,22
210,S0923,S,South,09,23
211,S0924,S,South,09,24
212,S0925,S,South,09,25
213,S0926,S,South,09,26
214,S0927,S,South,09,27
215,S0928,S,South,09,28
216,S0929,S,South,09,29
217,S0930,S,South,09,30
218,S0931,S,South,09,31
219,S0932,S,South,09,32
220,S0933,S,South,09,33
221,S0934,S,South,09,34
222,S0935,S,South,09,35
223,S0936,S,South,09,36
224,S0937,S,South,09,37
225,S0938,S,South,09,38
226,S0983,S,South,09,83
227,S1021,S,South,10,21
228,S1022,S,South,10,22
229,S1023,S,South,10,23
230,S1024,S,South,10,24
231,S1025,S,South,10,25
232,S1026,S,South,10,26
233,S1027,S,South,10,27
234,S1028,S,South,10,28
235,S1029,S,South,10,29
236,S1030,S,South,10,30
237,S1031,S,South,10,31
238,S1032,S,South,10,32
239,S1033,S,South,10,33
240,S1034,S,South,10,34
241,S1035,S,South,10,35
242,S1036,S,South,10,36
243,S1037,S,South,10,37
244,S1038,S,South,10,38
245,S1039,S,South,10,39
246,S1040,S,South,10,40
247,S1043,S,South,10,43
